group,RMSE,n_test
grp-a001-01-000000026737145,1.032069206237793,3
grp-a001-01-000000026737336,0.47474586963653564,2
grp-a001-01-000000026745248,1.4906446933746338,8
grp-a001-01-000000026745545,0.7821499705314636,6
grp-a001-01-000000026795054,0.3938376307487488,8
grp-a001-01-000000032099309,0.6111660599708557,5
grp-a001-01-000000032099454,0.6173841953277588,7
grp-a001-01-000000032099486,1.5008374452590942,5
grp-a001-01-000000032099488,0.7657526731491089,5
grp-a001-01-000000032099494,0.25994792580604553,5
grp-a001-01-000000032099495,0.9927632212638855,3
grp-a001-01-000000032099506,0.7502478957176208,5
grp-a001-01-000000032099507,1.2898598909378052,4
grp-a001-01-000000032099546,1.4357608556747437,4
grp-a001-01-000000042615149,0.7483516335487366,6
grp-a001-01-000000042615209,1.0338540077209473,13
grp-a001-01-000000042655638,0.893989086151123,12
grp-a001-01-000000043015959,0.8658484220504761,11
grp-a001-01-000000043015981,1.1003575325012207,16
grp-a001-01-000000043019346,0.8849804997444153,11
grp-a001-01-000000046452268,1.6536004543304443,2
grp-a001-01-000000046845047,1.5041950941085815,2
grp-a001-02-000000005406091,2.1670451164245605,4
grp-a001-02-000000028828595,1.617644190788269,3
grp-a001-02-000000031844867,1.247075080871582,3
grp-a001-02-000000032155473,3.0836973190307617,3
grp-a001-02-000000033265322,2.410797595977783,3
grp-a001-02-000000042543076,1.9119579792022705,2
grp-a001-02-000000043099842,1.288035273551941,3
grp-a001-02-000000043228324,0.9904463291168213,8
grp-a001-02-000000043229203,1.258429765701294,5
grp-a001-02-000000043414568,1.3444709777832031,2
grp-a001-02-000000043414569,1.5594580173492432,5
grp-a001-02-000000044884764,2.219977617263794,3
grp-a001-02-000000045607611,0.9206588268280029,5
grp-a001-02-000000047016513,1.1407800912857056,4
grp-a001-02-000000048610871,1.1502442359924316,3
