seed,architecture,RMSE
42,BayesianLSTM,1.3420
42,LSTM,1.2099
42,GRU,1.3984
42,BiLSTM,1.4998
42,Mamba,1.6356
42,Ridge,1.6033
42,MLP,1.7086
1,BayesianLSTM,1.3775
1,LSTM,1.4833
1,GRU,1.4784
1,BiLSTM,1.4563
1,Mamba,1.8272
1,Ridge,1.6033
1,MLP,1.6651
7,BayesianLSTM,1.3281
7,LSTM,1.6415
7,GRU,1.4954
7,BiLSTM,1.5102
7,Mamba,1.4736
7,Ridge,1.6033
7,MLP,2.2247
123,BayesianLSTM,1.3713
123,LSTM,1.5563
123,GRU,1.3924
123,BiLSTM,1.1857
123,Mamba,1.4772
123,Ridge,1.6033
123,MLP,1.6935
2024,BayesianLSTM,1.3829
2024,LSTM,1.5196
2024,GRU,1.2756
2024,BiLSTM,1.6364
2024,Mamba,1.7134
2024,Ridge,1.6033
2024,MLP,1.8502
