architecture,seed,dm_augmented_vs_real,p,p_bh,rmse_diff_aug_minus_real
BayesianLSTM,1,1.4547,0.1593,0.2787,0.1273
BayesianLSTM,7,0.3400,0.7370,0.8061,0.0284
BayesianLSTM,42,0.9823,0.3361,0.4525,0.0903
BayesianLSTM,123,1.6217,0.1185,0.2440,0.1479
BayesianLSTM,2024,1.7405,0.0951,0.2081,0.2055
BiLSTM,1,0.2423,0.8107,0.8599,0.0231
BiLSTM,7,1.0054,0.3252,0.4525,0.0867
BiLSTM,42,1.1875,0.2471,0.3761,0.1521
BiLSTM,123,-1.9815,0.0596,0.1391,-0.2154
BiLSTM,2024,1.5332,0.1389,0.2700,0.1889
GRU,1,0.9252,0.3645,0.4556,0.1006
GRU,7,0.6942,0.4945,0.5968,0.0925
GRU,42,0.9489,0.3525,0.4556,0.1165
GRU,123,-0.0907,0.9286,0.9553,-0.0106
GRU,2024,-1.3975,0.1756,0.2927,-0.1158
LSTM,1,1.0997,0.2828,0.4125,0.1028
LSTM,7,1.4783,0.1529,0.2787,0.1851
LSTM,42,-1.3320,0.1959,0.3117,-0.1068
LSTM,123,0.5206,0.6076,0.7089,0.0819
LSTM,2024,2.2557,0.0339,0.0848,0.3064
MLP,1,-4.0360,0.0005,0.0064,-3.0775
MLP,7,-3.0319,0.0059,0.0296,-1.9472
MLP,42,-4.0103,0.0005,0.0064,-2.6668
MLP,123,-4.0919,0.0004,0.0064,-2.7674
MLP,2024,-3.8721,0.0008,0.0068,-2.5478
Mamba,1,2.6901,0.0131,0.0572,0.3542
Mamba,7,-0.0566,0.9553,0.9553,-0.0059
Mamba,42,3.4782,0.0020,0.0142,0.2195
Mamba,123,0.4346,0.6679,0.7540,0.0412
Mamba,2024,3.1529,0.0045,0.0260,0.3406
Ridge,1,2.2809,0.0321,0.0848,0.2269
Ridge,7,2.2809,0.0321,0.0848,0.2269
Ridge,42,2.2809,0.0321,0.0848,0.2269
Ridge,123,2.2809,0.0321,0.0848,0.2269
Ridge,2024,2.2809,0.0321,0.0848,0.2269
